name,			tripcode,			party acronym,	party name,last counted, 	active
AA420 - Anglo Ancap party,!!LryFhlosSlc,ANCAP,	Anglo Ancap Party,16.12.18,1
faggotman (EcoF),	!!QSvwrQMMkoH,EFP,	Ecofascism Party,16.12.18,1
Publius(FED),		!!So+K1gxV24o,FED,	New Federalist Party,16.12.18,1
AnonLogic(FED),		!!vAvI5ANY+tu,FED,	New Federalist Party,16.12.18,1
JD9,,FED,	New Federalist Party,16.12.18,1
Reichsführer INP,	!!XY5tWycuvat,INP,	Imperial Nationalist Party,16.12.18,1
INP,			!!ZqlaDBgHayD,INP,	Imperial Nationalist Party,16.12.18,1
RubberMeal, 		!!oTbIWXrNFDX,INP,	Imperial Nationalist Party,16.12.18,1
Leroy INP,		!!oXc2JHiK7vu,INP,	Imperial Nationalist Party,16.12.18,1
The Engineering Council,!DzCbqt22aM,INP,	Imperial Nationalist Party,12.12.18,1
KaBob,,INP,	Imperial Nationalist Party,16.12.18,1
HellaPDaxxie,!!oTT70hXufr9,INP,	Imperial Nationalist Party,16.12.18,1
TheFrenchiestFry,!!orlNRZOFOX6,INP,	Imperial Nationalist Party,16.12.18,1
Mich (INP),!!rEkSWzi2+mz,INP,	Imperial Nationalist Party,16.12.18,1
Vivants,!!mXRuYO3St3n,INP,	Imperial Nationalist Party,16.12.18,1
jizrani,!!R43cIH2SfJq,INP,	Imperial Nationalist Party,16.12.18,1
ayystotheKing(INP),!!4HKWrHLR5Mz,INP,	Imperial Nationalist Party,19.12.18,1
num,	 		!!mRY3e1N1GPS,LAB,	Labour Party,16.12.18,1
jezza corbachev,	!!UfkSu8sJmvS,LAB,	Labour Party,16.12.18,1
Ocean Blue (LAB),!!NlNzLPaBZXD,LAB,	Labour Party,16.12.18,1
(NatLib) WARCORP™,	!LkGv7EMeXg,NLP,	National Liberal Party,16.12.18,1
NaLib,			!!GII1hPzfQ2e,NLP,	National Liberal Party,16.12.18,1
ChieftainMcSlippy,	!!AdJ8SNxAT2K,NPA,	no party affiliation,12.12.18,1
Kommandant,!!/jPLVjChFIb,NPA,no party affiliation,16.12.18,1
OldManMcJustice,!!y87M97xktoB,NPA,no party affiliation,16.12.18,1
shithead,!!7M/e4LocpkF,NPA,no party affiliation,16.12.18,1
Qwetyman,,NPA,no party affiliation,16.12.18,1
Peanus Weanus,!!6l9TkDYkIz0,NPA,no party affiliation,22.12.18,1
Gubbenheimer (NPC),	!!gIjr10bffK1,NPC,	Nationalist Populous of Conservatives,16.12.18,1
CharClone3 NZRP,!!8BAB0qQBG2h,NZRP,Neo-Zeonic Revival Party,16.12.18,1
Philosopher Kings,!!v/HenNIVTWA,PKP,	Philosopher Kings' Party,16.12.18,1
Avgvstvs (RMN party),!!gYjJGueIzyA,SPQR,Roman Party,16.12.18,1
Argentvm,!!qrNdffUHOoN,SPQR,Roman Party,19.12.18,1
SataniaFag,!Ko9saTanIA,THP,	The Hella Party,16.12.18,1
leaf,			!!Yt9UQ/EMNEq,				,	,		,0
Puff (Anglo AnCap), 	!!41skKdNcDbQ,ANCAP,	Anglo Ancap Party,		,0
Joann Dubois,		!!lZlJhdvUTh3,BNP,	Bonapartist Party,		,0
Deathwyng(BP),		!!lZlJhdvUTh3,BNP,	Bonapartist Party,		,0
Conebad (EFP),		!LNPMOyKnBI,EFP,	Ecofascism Party,		,0
Wehrmacht 1488,		!!K2FiQNTsyHj,INP,	Imperial Nationalist Party,		,0
violentπ(CSP),		!!6ZtuJKBFxzx,LAB,	Labour Party,		,0
Kami Ransu(LAB),	!!SFmhznhshmi,LAB,	Labour Party,		,0
MountainMan(NLS),	!!pjlXP5ZbVOV,NLS,	National Liberty & Sovereignty,		,0
Hopalong (NSLP),	!!C5m3WT75Nft,NLS,	National Liberty & Sovereignty,		,0
Divine Right (NLS),	!!2JFIGtvKGO,NLS,	National Liberty & Sovereignty,		,0
Borat Norad (NLS),	!!eV57MKybrhR,NLS,	National Liberty & Sovereignty,		,0
surrow,!!7qIHYACFB1B,NPA,	no party affiliation,		,0
Danboy(NZRP),!!lXhG6S+urIW,NZRP,Neo-Zeonic Revival Party,		,0
PoorYorick(pkp),!!RndL1AaR7Td,PKP,	Philosopher Kings' Party,		,0
